[22-Dec-2019 06:22:53 Asia/Taipei] PHP Warning:  mysql_connect(): Access denied for user 'qweqwe'@'localhost' (using password: YES) in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 18
[22-Dec-2019 06:23:13 Asia/Taipei] PHP Notice:  Undefined index: logreg in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 3
[22-Dec-2019 06:23:13 Asia/Taipei] PHP Notice:  Undefined index: ac in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 4
[22-Dec-2019 06:23:13 Asia/Taipei] PHP Notice:  Undefined index: pw in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 5
[22-Dec-2019 06:25:05 Asia/Taipei] PHP Notice:  Undefined index: logreg in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 3
[22-Dec-2019 06:25:05 Asia/Taipei] PHP Notice:  Undefined index: ac in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 4
[22-Dec-2019 06:25:05 Asia/Taipei] PHP Notice:  Undefined index: pw in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 5
[22-Dec-2019 06:25:31 Asia/Taipei] PHP Notice:  Undefined index: logreg in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 3
[22-Dec-2019 06:25:31 Asia/Taipei] PHP Notice:  Undefined index: ac in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 4
[22-Dec-2019 06:25:31 Asia/Taipei] PHP Notice:  Undefined index: pw in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 5
[22-Dec-2019 06:25:32 Asia/Taipei] PHP Notice:  Undefined index: logreg in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 3
[22-Dec-2019 06:25:32 Asia/Taipei] PHP Notice:  Undefined index: ac in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 4
[22-Dec-2019 06:25:32 Asia/Taipei] PHP Notice:  Undefined index: pw in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 5
[22-Dec-2019 06:25:32 Asia/Taipei] PHP Notice:  Undefined index: logreg in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 3
[22-Dec-2019 06:25:32 Asia/Taipei] PHP Notice:  Undefined index: ac in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 4
[22-Dec-2019 06:25:32 Asia/Taipei] PHP Notice:  Undefined index: pw in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 5
[22-Dec-2019 06:26:14 Asia/Taipei] PHP Notice:  Undefined index: logreg in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 3
[22-Dec-2019 06:26:14 Asia/Taipei] PHP Notice:  Undefined index: ac in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 4
[22-Dec-2019 06:26:14 Asia/Taipei] PHP Notice:  Undefined index: pw in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 5
[22-Dec-2019 06:28:32 Asia/Taipei] PHP Notice:  Undefined index: logreg in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 3
